customer_key,product_number
cust-001,TJN10004
cust-002,TJN10004
cust-003,TJN10001
cust-004,TJN10003
cust-005,TJN10002
cust-006,TJN10001
cust-007,TJN10003
cust-008,TJN10002
cust-009,TJN10002
cust-010,TJN10002
cust-011,TJN10003
cust-012,TJN10002
cust-013,TJN10003
cust-014,TJN10002
cust-015,TJN10004
cust-016,TJN10002
cust-017,TJN10004
cust-018,TJN10004
cust-019,TJN10004
cust-020,TJN10003
cust-021,TJN10001
cust-022,TJN10001
cust-023,TJN10003
cust-024,TJN10004
cust-025,TJN10004
cust-026,TJN10003
cust-027,TJN10001
cust-028,TJN10002
cust-029,TJN10004
cust-030,TJN10001
cust-031,TJN10001
cust-032,TJN10002
cust-033,TJN10001
cust-034,TJN10003
cust-035,TJN10003
cust-036,TJN10002
cust-037,TJN10002
cust-038,TJN10002
cust-039,TJN10003
cust-040,TJN10001
cust-041,TJN10002
cust-042,TJN10001
cust-043,TJN10001
cust-044,TJN10003
cust-045,TJN10004
cust-046,TJN10002
cust-047,TJN10003
cust-048,TJN10003
cust-049,TJN10001
cust-050,TJN10004
cust-051,TJN10004
cust-052,TJN10001
cust-053,TJN10002
cust-054,TJN10002
cust-055,TJN10004
cust-056,TJN10001
cust-057,TJN10002
cust-058,TJN10002
cust-059,TJN10001
cust-060,TJN10004
cust-061,TJN10004
cust-062,TJN10003
cust-063,TJN10004
cust-064,TJN10002
cust-065,TJN10002
cust-066,TJN10001
cust-067,TJN10003
cust-068,TJN10001
cust-069,TJN10003
cust-070,TJN10002
cust-071,TJN10001
cust-072,TJN10001
cust-073,TJN10004
cust-074,TJN10003
cust-075,TJN10001
cust-076,TJN10003
cust-077,TJN10003
cust-078,TJN10004
cust-079,TJN10003
cust-080,TJN10004
cust-081,TJN10002
cust-082,TJN10003
cust-083,TJN10002
cust-084,TJN10003
cust-085,TJN10003
cust-086,TJN10002
cust-087,TJN10004
cust-088,TJN10002
cust-089,TJN10004
cust-090,TJN10001
cust-091,TJN10002
cust-092,TJN10003
cust-093,TJN10002
cust-094,TJN10001
cust-095,TJN10002
cust-096,TJN10002
cust-097,TJN10003
cust-098,TJN10003
cust-099,TJN10001
cust-100,TJN10003
cust-101,TJN10004
cust-102,TJN10003
cust-103,TJN10002
cust-104,TJN10004
cust-105,TJN10002
cust-106,TJN10003
cust-107,TJN10001
cust-108,TJN10001
cust-109,TJN10002
cust-110,TJN10003
cust-111,TJN10001
cust-112,TJN10001
cust-113,TJN10003
cust-114,TJN10003
cust-115,TJN10002
cust-116,TJN10004
cust-117,TJN10003
cust-118,TJN10002
cust-119,TJN10002
cust-120,TJN10001
cust-121,TJN10003
cust-122,TJN10001
cust-123,TJN10003
cust-124,TJN10004
cust-125,TJN10001
cust-126,TJN10003
cust-127,TJN10004
cust-128,TJN10004
cust-129,TJN10004
cust-130,TJN10004
cust-131,TJN10004
cust-132,TJN10001
cust-133,TJN10001
cust-134,TJN10004
cust-135,TJN10004
cust-136,TJN10003
cust-137,TJN10004
cust-138,TJN10003
cust-139,TJN10003
cust-140,TJN10001
cust-141,TJN10003
cust-142,TJN10002
cust-143,TJN10003
cust-144,TJN10004
cust-145,TJN10004
cust-146,TJN10003
cust-147,TJN10004
cust-148,TJN10003
cust-149,TJN10003
cust-150,TJN10001
