customer_id,email,phone_number,organization_number
122307349,post@oestrestranda-drift-as.no,94108603,939958838
122307350,post@bergsameie.no,49906820,966629388
122307352,post@vestretoppen-as.no,43903402,977827638
122307354,post@vestrehaugen-as.no,93698379,970291817
122307355,post@enghaugen-drift-as.no,47090293,955667651
122307357,post@vestresameie.no,91714803,922448136
122307358,post@solbergpark.no,94437923,915831819
122307359,post@gronnehaugen-as.no,91322047,984093639
122307360,post@gamlepark.no,99686361,935808537
122307362,post@nyeskogen-as.no,44855124,920709497
122307363,post@hoeyehage.no,94663623,970855700
122307364,post@oestrepark.no,93514944,999949389
122307365,post@blaagaard.no,42871230,981691040
122307366,post@solbergskogen-eiendom-as.no,94528972,995899313
122307367,post@lundsameie.no,43842788,914308421
122307368,post@oestreveien-eiendomsforvaltning-as.no,43539704,986125617
122307369,post@dalhage.no,96637601,996282117
122307370,post@solbergborettslag.no,44137722,985345555
122307373,post@heimboligsameie.no,99790057,963606628
122307374,post@nyeboligsameie.no,91525206,916323852
122307375,post@enghaugen-eiendom-as.no,47082668,990048665
122307376,post@soendreborettslag.no,98877065,943744231
122307377,post@nordreborettslag.no,49008867,945812670
122307378,post@engpark.no,92653446,970897765
122307379,post@gamlesameie.no,98398441,933978249
122307380,post@bergtoppen-as.no,98517169,991734598
122307381,post@nordreveien-eiendom-as.no,49049278,981182864
122307382,post@gronneveien-as.no,90326765,925014631
122307384,post@bergveien-drift-as.no,40971823,942329237
122307385,post@bekkterrasse.no,91161193,981498611
122307386,post@oestregaard.no,99224173,932162965
122307387,post@fjellveien-eiendomsforvaltning-as.no,93553384,982383095
122307388,post@gamletoppen-as.no,96264956,968800797
122307389,post@dalterrasse.no,41074176,955377076
122307390,post@berghaugen-eiendom-as.no,49872386,939557077
122307394,post@bakkeborettslag.no,43841005,919046318
122307395,post@oestreterrasse.no,48626108,941944441
122307396,post@nyehaugen-as.no,49046844,927758595
122307398,post@blaaskogen-drift-as.no,93194548,922660194
122307399,post@lundgaard.no,97106470,965177213
122307400,post@skogpark.no,41651177,918135295
122307401,post@lundpark.no,44171761,935714784
122307402,post@solberghaugen-eiendomsforvaltning-as.no,47077999,934627347
122307404,post@hoeyepark.no,47434500,983863413
122307406,post@heimgaard.no,41564689,941726318
122307408,post@storetoppen-as.no,93586084,963826716
122307409,post@gronnegaard.no,46550190,945594951
122307410,post@soendreskogen-drift-as.no,92597059,935487660
122307411,post@heimhaugen-eiendomsforvaltning-as.no,45261415,917672593
122307412,post@storetoppen-eiendomsforvaltning-as.no,40954280,978159587
122307413,post@fjellterrasse.no,49983032,919121552
122307415,post@bergborettslag.no,49712650,989795010
122307418,post@dalskogen-eiendomsforvaltning-as.no,99792396,985863473
122307419,post@heimterrasse.no,45271130,942035886
122307420,post@stadgaard.no,97670955,952436584
122307422,post@gamleskogen-eiendomsforvaltning-as.no,41229110,982160068
122307423,post@skogstranda-eiendomsforvaltning-as.no,45855396,919233013
122307424,post@gamleveien-as.no,47351517,982909480
122307425,post@vikhaugen-eiendomsforvaltning-as.no,49304682,950181935
122307427,post@solbergveien-as.no,91936571,924366125
122307428,post@hoeyeboligsameie.no,45752576,937326368
122307429,post@oestrehaugen-as.no,90852264,922388090
122307430,post@blaasameie.no,40059486,954769200
122307431,post@skogsameie.no,47412769,984045292
122307433,post@storeskogen-eiendom-as.no,41262382,930005727
122307434,post@gamlestranda-drift-as.no,47210624,927105448
122307435,post@dalhaugen-eiendomsforvaltning-as.no,46003042,938195995
122307436,post@hoeyehaugen-eiendomsforvaltning-as.no,99393286,964543049
122307438,post@vestreboligsameie.no,42970445,965337219
122307440,post@gamleterrasse.no,96907400,999913412
122307442,post@dalskogen-drift-as.no,46417985,915197528
122307443,post@heimstranda-as.no,95866294,950962024
122307445,post@stadsameie.no,46685149,954058573
122307446,post@bakkeboligsameie.no,95891254,996098221
122307447,post@aastoppen-eiendomsforvaltning-as.no,90463060,925480907
122307448,post@bergtoppen-drift-as.no,90641849,924549543
122307449,post@lillegaard.no,97321474,991363974
122307450,post@bergstranda-as.no,44273534,915957459
122307451,post@lundstranda-drift-as.no,46110622,967887757
122307454,post@aasboligsameie.no,92090865,950308572
122307457,post@nyeterrasse.no,96751158,949682169
122307459,post@dalskogen-as.no,92919694,992613013
122307460,post@aasborettslag.no,45098175,948508907
122307461,post@fjellstranda-as.no,97801207,969295515
122307462,post@gamleborettslag.no,92846949,998429450
122307463,post@oestreborettslag.no,91566777,941523529
122307464,post@hoeyehaugen-as.no,40409790,916202700
122307465,post@berghaugen-eiendomsforvaltning-as.no,47640615,965625330
122307466,post@heimstranda-drift-as.no,98294272,963640499
122307467,post@fjellsameie.no,41788238,967062156
122307468,post@solberghage.no,90842524,984813739
122307470,post@oestrestranda-eiendomsforvaltning-as.no,92237058,972363359
122307471,post@gamleboligsameie.no,99191766,969849511
122307473,post@soendregaard.no,94348512,943183955
122307474,post@storepark.no,94013879,946855845
122307476,post@enghage.no,93934149,946468984
122307477,post@vestregaard.no,42321531,930244148
122307480,post@gronnehage.no,43589533,918620650
122307481,post@bergskogen-eiendomsforvaltning-as.no,96975534,918357162
122307482,post@hoeyeborettslag.no,99799226,912621534
122307484,post@vikgaard.no,95009888,962343121
122307486,post@bekkboligsameie.no,48191131,939450273
122307487,post@blaaborettslag.no,46523941,955114543
122307488,post@lillesameie.no,92141239,993517915
122307490,post@nyesameie.no,41408404,996268397
122307491,post@nyehage.no,40843636,944917589
122307493,post@engskogen-eiendomsforvaltning-as.no,95483562,955298556
122307494,post@skogtoppen-as.no,91374158,973123515
122307495,post@bakkehage.no,45871360,940094589
122307496,post@engterrasse.no,40520596,943189803
122307497,post@gronneskogen-drift-as.no,44002120,926941092
122307498,post@stadboligsameie.no,47801975,944392446
122307499,post@solberggaard.no,42747534,951746937
122307500,post@viktoppen-drift-as.no,99660266,960372847
122307501,post@heimpark.no,49933753,994187049
122307502,post@lillepark.no,92030966,985958181
122307504,post@lilleskogen-eiendomsforvaltning-as.no,96217147,919255216
122307505,post@gamlehaugen-as.no,91770648,968186525
122307506,post@lilleboligsameie.no,47306261,933640702
122307507,post@berghage.no,97799287,968461818
122307508,post@soendreterrasse.no,44679639,970505620
122307509,post@engboligsameie.no,95643798,913852048
122307510,post@vikskogen-eiendomsforvaltning-as.no,48179730,938470244
122307512,post@stadveien-eiendom-as.no,94691890,990014570
122307514,post@aasveien-eiendomsforvaltning-as.no,41436347,942394260
122307515,post@nordreterrasse.no,47987516,996691619
122307517,post@bergterrasse.no,44936453,939742165
122307518,post@soendreveien-as.no,99756883,959529086
122307519,post@skogborettslag.no,97138769,983871890
122307520,post@bakkepark.no,94545223,951154241
122307522,post@aasstranda-eiendom-as.no,45294016,926046365
122307523,post@nyepark.no,94638893,989133014
122307524,post@solbergterrasse.no,93816534,958436637
122307525,post@engtoppen-drift-as.no,44602180,916109013
122307526,post@bakkegaard.no,48235577,923769080
122307527,post@soendrehage.no,98031491,969118721
122307528,post@soendrestranda-eiendomsforvaltning-as.no,98014965,925312516
122307531,post@hoeyestranda-eiendom-as.no,49680808,994482772
122307533,post@bakkeskogen-eiendomsforvaltning-as.no,91429098,943311626
122307534,post@vikskogen-drift-as.no,48767312,961053474
122307536,post@vestreveien-drift-as.no,99873813,967556566
122307537,post@vestrepark.no,41664863,937888820
122307538,post@gronnestranda-eiendomsforvaltning-as.no,42634980,942194159
122307539,post@dalsameie.no,40044891,964830300
122307541,post@fjellboligsameie.no,94886520,914380847
122307542,post@nyeborettslag.no,97617381,919553585
122307544,post@storesameie.no,47132648,925405014
122307546,post@gamlegaard.no,92386328,919584466
122307547,post@lundterrasse.no,97367772,926690465
122307548,post@lundboligsameie.no,94567533,977172238
